id;parent;title;sub_title;image_url;description;country;code;status
1;Clothing;Shirts;Available (120);https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?ixlib=rb-0.3.5&s=a8ef3fd4a48693a0620b614a6209b687&auto=format&fit=crop&w=750&q=80;Tops - Shirts;usa;SHIRTS;active
2;Clothing;Blouses;Available (120);https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?ixlib=rb-0.3.5&s=a8ef3fd4a48693a0620b614a6209b687&auto=format&fit=crop&w=750&q=80;Tops - Blouses;usa;WESTERN-BLOUSES;active
3;Clothing;T-Shirts;Available (120);https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?ixlib=rb-0.3.5&s=a8ef3fd4a48693a0620b614a6209b687&auto=format&fit=crop&w=750&q=80;Tops - T-Shirts;usa;TSHIRTS;active
4;Clothing;Jeans;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms -Jeans;usa;JEANS;active
5;Clothing;Pants;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms - Pants;usa;PANTS;active
6;Clothing;Leggings;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms - Leggings;usa;LEGGINGS;active
7;Clothing;Joggers;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms - Joggers;usa;JOGGERS;active
8;Clothing;Shorts;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms - Shorts;usa;SHORTS;active
9;Clothing;Skirts;Available (120);https://images.unsplash.com/photo-1498661705887-3778d9ecb4ff?ixlib=rb-0.3.5&s=f51f276113011f5dc3020416e13e5cb6&auto=format&fit=crop&w=550&q=80;Bottoms - Skirts;usa;SKIRTS;active
10;Clothing;Maxi;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Dresses -Maxi;usa;MAXI;active
11;Clothing;Midi;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Dresses - Midi;usa;MIDI;active
12;Clothing;Mini;Available (120);https://images.unsplash.com/photo-1463820048975-a3b50e6d991d?ixlib=rb-0.3.5&s=6cfe9709e4c45ab8b4f875c84a2746ed&auto=format&fit=crop&w=500&q=80;Dresses - Mini;usa;MINI;active
13;Clothing;Jump Suits;Available (120);https://images.unsplash.com/photo-1509695507497-903c140c43b0?ixlib=rb-0.3.5&s=f695afbce9bdbe2c16c7a7b3875588f2&auto=format&fit=crop&w=500&q=80;Jump Suits;usa;JUMPSTARTS;active
